"epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/raw_score_mean_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/raw_score_mean_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/raw_score_mean_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/raw_score_mean_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/raw_score_mean_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/raw_score_mean_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/raw_score_mean_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/raw_score_mean_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/raw_score_mean_epoch__MAX"
"21","45","45","45","0.20692412555217743","0.20692412555217743","0.20692412555217743","45","45","45","0.20229338109493256","0.20229338109493256","0.20229338109493256","45","45","45","0.2054355889558792","0.2054355889558792","0.2054355889558792"
"22","47","47","47","0.1971210241317749","0.1971210241317749","0.1971210241317749","47","47","47","0.19079959392547607","0.19079959392547607","0.19079959392547607","47","47","47","0.22522492706775665","0.22522492706775665","0.22522492706775665"
"23","49","49","49","0.21022312343120575","0.21022312343120575","0.21022312343120575","49","49","49","0.20404380559921265","0.20404380559921265","0.20404380559921265","49","49","49","0.20097437500953674","0.20097437500953674","0.20097437500953674"
"24","51","51","51","0.21952998638153076","0.21952998638153076","0.21952998638153076","51","51","51","0.19208022952079773","0.19208022952079773","0.19208022952079773","51","51","51","0.22634966671466827","0.22634966671466827","0.22634966671466827"
"25","53","53","53","0.2081916183233261","0.2081916183233261","0.2081916183233261","53","53","53","0.20857112109661102","0.20857112109661102","0.20857112109661102","53","53","53","0.20855607092380524","0.20855607092380524","0.20855607092380524"
"26","55","55","55","0.21054033935070038","0.21054033935070038","0.21054033935070038","55","55","55","0.218964621424675","0.218964621424675","0.218964621424675","55","55","55","0.20978336036205292","0.20978336036205292","0.20978336036205292"
"27","57","57","57","0.2017483115196228","0.2017483115196228","0.2017483115196228","57","57","57","0.1957518309354782","0.1957518309354782","0.1957518309354782","57","57","57","0.2184840738773346","0.2184840738773346","0.2184840738773346"
"28","59","59","59","0.18384484946727753","0.18384484946727753","0.18384484946727753","59","59","59","0.2007751762866974","0.2007751762866974","0.2007751762866974","59","59","59","0.21777760982513428","0.21777760982513428","0.21777760982513428"
"29","62","62","62","0.19363686442375183","0.19363686442375183","0.19363686442375183","62","62","62","0.20078611373901367","0.20078611373901367","0.20078611373901367","62","62","62","0.20664405822753906","0.20664405822753906","0.20664405822753906"
"30","64","64","64","0.19550929963588715","0.19550929963588715","0.19550929963588715","64","64","64","0.21543966233730316","0.21543966233730316","0.21543966233730316","64","64","64","0.22365239262580872","0.22365239262580872","0.22365239262580872"
