"epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_mean_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_mean_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_mean_epoch__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_mean_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_mean_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_mean_epoch__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_mean_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_mean_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_mean_epoch__MAX"
"54","114","114","114","0.10352715104818344","0.10352715104818344","0.10352715104818344","114","114","114","0.11229007691144943","0.11229007691144943","0.11229007691144943","146","146","146","0.1009376272559166","0.1009376272559166","0.1009376272559166"
"55","116","116","116","0.10423905402421951","0.10423905402421951","0.10423905402421951","116","116","116","0.10598411411046982","0.10598411411046982","0.10598411411046982","148","148","148","0.10427465289831161","0.10427465289831161","0.10427465289831161"
"56","118","118","118","0.09928179532289505","0.09928179532289505","0.09928179532289505","118","118","118","0.11197926104068756","0.11197926104068756","0.11197926104068756","150","150","150","0.10859481990337372","0.10859481990337372","0.10859481990337372"
"57","120","120","120","0.11132802814245224","0.11132802814245224","0.11132802814245224","120","120","120","0.11549999564886093","0.11549999564886093","0.11549999564886093","152","152","152","0.10107208788394928","0.10107208788394928","0.10107208788394928"
"58","122","122","122","0.11827617883682251","0.11827617883682251","0.11827617883682251","122","122","122","0.10541430115699768","0.10541430115699768","0.10541430115699768","154","154","154","0.1098645031452179","0.1098645031452179","0.1098645031452179"
"59","125","125","125","0.10208260267972946","0.10208260267972946","0.10208260267972946","125","125","125","0.11052115261554718","0.11052115261554718","0.11052115261554718","157","157","157","0.10418887436389923","0.10418887436389923","0.10418887436389923"
"60","127","127","127","0.10480722039937973","0.10480722039937973","0.10480722039937973","127","127","127","0.10377871990203857","0.10377871990203857","0.10377871990203857","159","159","159","0.10012742877006531","0.10012742877006531","0.10012742877006531"
"61","129","129","129","0.10599732398986816","0.10599732398986816","0.10599732398986816","129","129","129","0.10759833455085754","0.10759833455085754","0.10759833455085754","161","161","161","0.10763198882341385","0.10763198882341385","0.10763198882341385"
"62","131","131","131","0.10357899963855743","0.10357899963855743","0.10357899963855743","131","131","131","0.10745687037706375","0.10745687037706375","0.10745687037706375","163","163","163","0.1051972359418869","0.1051972359418869","0.1051972359418869"
"63","133","133","133","0.10979720205068588","0.10979720205068588","0.10979720205068588","133","133","133","0.1141401156783104","0.1141401156783104","0.1141401156783104","165","165","165","0.10341925919055939","0.10341925919055939","0.10341925919055939"
"64","135","135","135","0.10781050473451614","0.10781050473451614","0.10781050473451614","135","135","135","0.11351009458303452","0.11351009458303452","0.11351009458303452","167","167","167","0.10130207985639572","0.10130207985639572","0.10130207985639572"
"65","","","","","","","137","137","137","0.09907610714435577","0.09907610714435577","0.09907610714435577","169","169","169","0.110381118953228","0.110381118953228","0.110381118953228"
