"epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_max_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_max_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_max_epoch__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_max_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_max_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_max_epoch__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_max_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_max_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_max_epoch__MAX"
"44","93","93","93","0.25333333015441895","0.25333333015441895","0.25333333015441895","93","93","93","0.24590164422988892","0.24590164422988892","0.24590164422988892","125","125","125","0.25503355264663696","0.25503355264663696","0.25503355264663696"
"45","95","95","95","0.2083333283662796","0.2083333283662796","0.2083333283662796","95","95","95","0.21935483813285828","0.21935483813285828","0.21935483813285828","127","127","127","0.24369747936725616","0.24369747936725616","0.24369747936725616"
"46","97","97","97","0.20886075496673584","0.20886075496673584","0.20886075496673584","97","97","97","0.21153846383094788","0.21153846383094788","0.21153846383094788","129","129","129","0.25170066952705383","0.25170066952705383","0.25170066952705383"
"47","99","99","99","0.2199999988079071","0.2199999988079071","0.2199999988079071","99","99","99","0.25","0.25","0.25","131","131","131","0.23529411852359772","0.23529411852359772","0.23529411852359772"
"48","101","101","101","0.26530611515045166","0.26530611515045166","0.26530611515045166","101","101","101","0.2432432472705841","0.2432432472705841","0.2432432472705841","133","133","133","0.24025973677635193","0.24025973677635193","0.24025973677635193"
"49","104","104","104","0.23489932715892792","0.23489932715892792","0.23489932715892792","104","104","104","0.21290323138237","0.21290323138237","0.21290323138237","136","136","136","0.22516556084156036","0.22516556084156036","0.22516556084156036"
"50","106","106","106","0.23178808391094208","0.23178808391094208","0.23178808391094208","106","106","106","0.25333333015441895","0.25333333015441895","0.25333333015441895","138","138","138","0.24832214415073395","0.24832214415073395","0.24832214415073395"
"51","108","108","108","0.23880596458911896","0.23880596458911896","0.23880596458911896","108","108","108","0.2380952388048172","0.2380952388048172","0.2380952388048172","140","140","140","0.2777777910232544","0.2777777910232544","0.2777777910232544"
"52","110","110","110","0.20394736528396606","0.20394736528396606","0.20394736528396606","110","110","110","0.25954198837280273","0.25954198837280273","0.25954198837280273","142","142","142","0.20261438190937042","0.20261438190937042","0.20261438190937042"
"53","112","112","112","0.21290323138237","0.21290323138237","0.21290323138237","112","112","112","0.23026315867900848","0.23026315867900848","0.23026315867900848","144","144","144","0.20382165908813477","0.20382165908813477","0.20382165908813477"
"54","114","114","114","0.21568627655506134","0.21568627655506134","0.21568627655506134","114","114","114","0.24161073565483093","0.24161073565483093","0.24161073565483093","146","146","146","0.2522522509098053","0.2522522509098053","0.2522522509098053"
"55","116","116","116","0.251748263835907","0.251748263835907","0.251748263835907","116","116","116","0.21192052960395813","0.21192052960395813","0.21192052960395813","148","148","148","0.20382165908813477","0.20382165908813477","0.20382165908813477"
"56","118","118","118","0.24060150980949402","0.24060150980949402","0.24060150980949402","118","118","118","0.26760563254356384","0.26760563254356384","0.26760563254356384","150","150","150","0.26530611515045166","0.26530611515045166","0.26530611515045166"
"57","120","120","120","0.21710526943206787","0.21710526943206787","0.21710526943206787","120","120","120","0.2222222238779068","0.2222222238779068","0.2222222238779068","152","152","152","0.23333333432674408","0.23333333432674408","0.23333333432674408"
"58","122","122","122","0.25503355264663696","0.25503355264663696","0.25503355264663696","122","122","122","0.21705426275730133","0.21705426275730133","0.21705426275730133","154","154","154","0.2432432472705841","0.2432432472705841","0.2432432472705841"
"59","125","125","125","0.21929824352264404","0.21929824352264404","0.21929824352264404","125","125","125","0.2238806039094925","0.2238806039094925","0.2238806039094925","157","157","157","0.2151898741722107","0.2151898741722107","0.2151898741722107"
"60","127","127","127","0.2635135054588318","0.2635135054588318","0.2635135054588318","127","127","127","0.23026315867900848","0.23026315867900848","0.23026315867900848","159","159","159","0.24025973677635193","0.24025973677635193","0.24025973677635193"
"61","129","129","129","0.2567567527294159","0.2567567527294159","0.2567567527294159","129","129","129","0.28378379344940186","0.28378379344940186","0.28378379344940186","161","161","161","0.23999999463558197","0.23999999463558197","0.23999999463558197"
"62","131","131","131","0.20645160973072052","0.20645160973072052","0.20645160973072052","131","131","131","0.2222222238779068","0.2222222238779068","0.2222222238779068","163","163","163","0.22077922523021698","0.22077922523021698","0.22077922523021698"
"63","133","133","133","0.22875817120075226","0.22875817120075226","0.22875817120075226","133","133","133","0.21710526943206787","0.21710526943206787","0.21710526943206787","165","165","165","0.20779220759868622","0.20779220759868622","0.20779220759868622"
"64","135","135","135","0.2434210479259491","0.2434210479259491","0.2434210479259491","135","135","135","0.23529411852359772","0.23529411852359772","0.23529411852359772","167","167","167","0.20915032923221588","0.20915032923221588","0.20915032923221588"
"65","","","","","","","137","137","137","0.2165605127811432","0.2165605127811432","0.2165605127811432","169","169","169","0.21935483813285828","0.21935483813285828","0.21935483813285828"
