"epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/reward_max_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/reward_max_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/reward_max_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/reward_max_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/reward_max_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/reward_max_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/reward_max_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/reward_max_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/reward_max_epoch__MAX"
"32","68","68","68","0.574999988079071","0.574999988079071","0.574999988079071","68","68","68","0.557692289352417","0.557692289352417","0.557692289352417","68","68","68","0.5602564215660095","0.5602564215660095","0.5602564215660095"
"33","70","70","70","0.47600001096725464","0.47600001096725464","0.47600001096725464","70","70","70","0.5532258152961731","0.5532258152961731","0.5532258152961731","70","70","70","0.5","0.5","0.5"
"34","72","72","72","0.5705607533454895","0.5705607533454895","0.5705607533454895","72","72","72","0.5529850721359253","0.5529850721359253","0.5529850721359253","72","72","72","0.47857141494750977","0.47857141494750977","0.47857141494750977"
"35","74","74","74","0.4593749940395355","0.4593749940395355","0.4593749940395355","74","74","74","0.49130433797836304","0.49130433797836304","0.49130433797836304","74","74","74","0.4615384638309479","0.4615384638309479","0.4615384638309479"
"36","76","76","76","0.4217391312122345","0.4217391312122345","0.4217391312122345","76","76","76","0.6190265417098999","0.6190265417098999","0.6190265417098999","76","76","76","0.5533613562583923","0.5533613562583923","0.5533613562583923"
"37","78","78","78","0.5839622616767883","0.5839622616767883","0.5839622616767883","78","78","78","0.5771844387054443","0.5771844387054443","0.5771844387054443","78","78","78","0.5574073791503906","0.5574073791503906","0.5574073791503906"
"38","80","80","80","0.4684210419654846","0.4684210419654846","0.4684210419654846","80","80","80","0.5535087585449219","0.5535087585449219","0.5535087585449219","80","80","80","0.6128098964691162","0.6128098964691162","0.6128098964691162"
"39","83","83","83","0.46206897497177124","0.46206897497177124","0.46206897497177124","83","83","83","0.5536697506904602","0.5536697506904602","0.5536697506904602","83","83","83","0.4730158746242523","0.4730158746242523","0.4730158746242523"
"40","85","85","85","0.5551724433898926","0.5551724433898926","0.5551724433898926","85","85","85","0.47226276993751526","0.47226276993751526","0.47226276993751526","85","85","85","0.5762295126914978","0.5762295126914978","0.5762295126914978"
"41","87","87","87","0.5798245668411255","0.5798245668411255","0.5798245668411255","87","87","87","0.44999998807907104","0.44999998807907104","0.44999998807907104","87","87","87","0.5797520875930786","0.5797520875930786","0.5797520875930786"
"42","89","89","89","0.48461538553237915","0.48461538553237915","0.48461538553237915","89","89","89","0.585185170173645","0.585185170173645","0.585185170173645","89","89","89","0.4840579628944397","0.4840579628944397","0.4840579628944397"
"43","91","91","91","0.5916666388511658","0.5916666388511658","0.5916666388511658","91","91","91","0.44426229596138","0.44426229596138","0.44426229596138","91","91","91","0.6172897219657898","0.6172897219657898","0.6172897219657898"
"44","93","93","93","0.5533613562583923","0.5533613562583923","0.5533613562583923","93","93","93","0.5536697506904602","0.5536697506904602","0.5536697506904602","93","93","93","0.5515151619911194","0.5515151619911194","0.5515151619911194"
"45","95","95","95","0.4984374940395355","0.4984374940395355","0.4984374940395355","95","95","95","0.5","0.5","0.5","95","95","95","0.5666666626930237","0.5666666626930237","0.5666666626930237"
"46","97","97","97","0.49370077252388","0.49370077252388","0.49370077252388","97","97","97","0.46283185482025146","0.46283185482025146","0.46283185482025146","97","97","97","0.47288134694099426","0.47288134694099426","0.47288134694099426"
"47","99","99","99","0.4471074342727661","0.4471074342727661","0.4471074342727661","99","99","99","0.4809523820877075","0.4809523820877075","0.4809523820877075","99","99","99","0.5874999761581421","0.5874999761581421","0.5874999761581421"
"48","101","101","101","0.5762295126914978","0.5762295126914978","0.5762295126914978","101","101","101","0.5681818127632141","0.5681818127632141","0.5681818127632141","101","101","101","0.49259260296821594","0.49259260296821594","0.49259260296821594"
"49","104","104","104","0.4955223798751831","0.4955223798751831","0.4955223798751831","104","104","104","0.46799999475479126","0.46799999475479126","0.46799999475479126","104","104","104","0.6109374761581421","0.6109374761581421","0.6109374761581421"
"50","106","106","106","0.4636363685131073","0.4636363685131073","0.4636363685131073","106","106","106","0.4644067883491516","0.4644067883491516","0.4644067883491516","106","106","106","0.5","0.5","0.5"
"51","108","108","108","0.4928571283817291","0.4928571283817291","0.4928571283817291","108","108","108","0.6045454740524292","0.6045454740524292","0.6045454740524292","108","108","108","0.6083333492279053","0.6083333492279053","0.6083333492279053"
"52","110","110","110","0.46206897497177124","0.46206897497177124","0.46206897497177124","110","110","110","0.46799999475479126","0.46799999475479126","0.46799999475479126","110","110","110","0.5607143044471741","0.5607143044471741","0.5607143044471741"
"53","112","112","112","0.447826087474823","0.447826087474823","0.447826087474823","112","112","112","0.4739130437374115","0.4739130437374115","0.4739130437374115","112","112","112","0.5551724433898926","0.5551724433898926","0.5551724433898926"
"54","114","114","114","0.48260870575904846","0.48260870575904846","0.48260870575904846","114","114","114","0.4553718864917755","0.4553718864917755","0.4553718864917755","114","114","114","0.45384615659713745","0.45384615659713745","0.45384615659713745"
"55","116","116","116","0.4636363685131073","0.4636363685131073","0.4636363685131073","116","116","116","0.4739130437374115","0.4739130437374115","0.4739130437374115","116","116","116","0.48775508999824524","0.48775508999824524","0.48775508999824524"
"56","118","118","118","0.4984374940395355","0.4984374940395355","0.4984374940395355","118","118","118","0.5580000281333923","0.5580000281333923","0.5580000281333923","118","118","118","0.6407407522201538","0.6407407522201538","0.6407407522201538"
"57","120","120","120","0.44999998807907104","0.44999998807907104","0.44999998807907104","120","120","120","0.5988188982009888","0.5988188982009888","0.5988188982009888","120","120","120","0.47096773982048035","0.47096773982048035","0.47096773982048035"
"58","122","122","122","0.5562499761581421","0.5562499761581421","0.5562499761581421","122","122","122","0.4931623935699463","0.4931623935699463","0.4931623935699463","122","122","122","0.46666666865348816","0.46666666865348816","0.46666666865348816"
"59","125","125","125","0.46296295523643494","0.46296295523643494","0.46296295523643494","125","125","125","0.5680328011512756","0.5680328011512756","0.5680328011512756","125","125","125","0.47226276993751526","0.47226276993751526","0.47226276993751526"
"60","127","127","127","0.593478262424469","0.593478262424469","0.593478262424469","127","127","127","0.5644144415855408","0.5644144415855408","0.5644144415855408","127","127","127","0.5536697506904602","0.5536697506904602","0.5536697506904602"
"61","129","129","129","0.5583333373069763","0.5583333373069763","0.5583333373069763","129","129","129","0.5551724433898926","0.5551724433898926","0.5551724433898926","129","129","129","0.46585366129875183","0.46585366129875183","0.46585366129875183"
"62","131","131","131","0.49823009967803955","0.49823009967803955","0.49823009967803955","131","131","131","0.5924778580665588","0.5924778580665588","0.5924778580665588","131","131","131","0.5772727131843567","0.5772727131843567","0.5772727131843567"
