"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_mean_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_mean_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_mean_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_mean_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_mean_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_mean_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_mean_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_mean_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_mean_epoch__MAX"
"57","120","120","120","0.3038299083709717","0.3038299083709717","0.3038299083709717","120","120","120","0.28653648495674133","0.28653648495674133","0.28653648495674133","119","119","119","0.29454556107521057","0.29454556107521057","0.29454556107521057"
"58","122","122","122","0.3048090934753418","0.3048090934753418","0.3048090934753418","122","122","122","0.29701969027519226","0.29701969027519226","0.29701969027519226","121","121","121","0.29723960161209106","0.29723960161209106","0.29723960161209106"
"59","125","125","125","0.3033921420574188","0.3033921420574188","0.3033921420574188","125","125","125","0.2960822582244873","0.2960822582244873","0.2960822582244873","124","124","124","0.29932349920272827","0.29932349920272827","0.29932349920272827"
"60","127","127","127","0.29968130588531494","0.29968130588531494","0.29968130588531494","127","127","127","0.309573233127594","0.309573233127594","0.309573233127594","126","126","126","0.2969217598438263","0.2969217598438263","0.2969217598438263"
"61","129","129","129","0.3047059178352356","0.3047059178352356","0.3047059178352356","129","129","129","0.29681697487831116","0.29681697487831116","0.29681697487831116","128","128","128","0.2984192371368408","0.2984192371368408","0.2984192371368408"
"62","131","131","131","0.3032408356666565","0.3032408356666565","0.3032408356666565","131","131","131","0.2980225682258606","0.2980225682258606","0.2980225682258606","130","130","130","0.30185747146606445","0.30185747146606445","0.30185747146606445"
"63","133","133","133","0.30382275581359863","0.30382275581359863","0.30382275581359863","133","133","133","0.29389792680740356","0.29389792680740356","0.29389792680740356","132","132","132","0.30435964465141296","0.30435964465141296","0.30435964465141296"
"64","135","135","135","0.30297204852104187","0.30297204852104187","0.30297204852104187","135","135","135","0.2992457151412964","0.2992457151412964","0.2992457151412964","134","134","134","0.2953750193119049","0.2953750193119049","0.2953750193119049"
"65","137","137","137","0.2979476749897003","0.2979476749897003","0.2979476749897003","137","137","137","0.3060051500797272","0.3060051500797272","0.3060051500797272","136","136","136","0.2992679178714752","0.2992679178714752","0.2992679178714752"
"66","139","139","139","0.30126771330833435","0.30126771330833435","0.30126771330833435","139","139","139","0.2977455258369446","0.2977455258369446","0.2977455258369446","138","138","138","0.30142802000045776","0.30142802000045776","0.30142802000045776"
