"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch__MAX"
"20","43","43","43","0.42185163497924805","0.42185163497924805","0.42185163497924805","43","43","43","0.46071645617485046","0.46071645617485046","0.46071645617485046","42","42","42","0.46282684803009033","0.46282684803009033","0.46282684803009033"
"21","45","45","45","0.4561612010002136","0.4561612010002136","0.4561612010002136","45","45","45","0.4219449758529663","0.4219449758529663","0.4219449758529663","44","44","44","0.4424324631690979","0.4424324631690979","0.4424324631690979"
"22","47","47","47","0.45231324434280396","0.45231324434280396","0.45231324434280396","47","47","47","0.4466935098171234","0.4466935098171234","0.4466935098171234","46","46","46","0.4389464855194092","0.4389464855194092","0.4389464855194092"
"23","49","49","49","0.5272974371910095","0.5272974371910095","0.5272974371910095","49","49","49","0.470181405544281","0.470181405544281","0.470181405544281","48","48","48","0.4817623496055603","0.4817623496055603","0.4817623496055603"
"24","51","51","51","0.4321064054965973","0.4321064054965973","0.4321064054965973","51","51","51","0.477201372385025","0.477201372385025","0.477201372385025","50","50","50","0.43559470772743225","0.43559470772743225","0.43559470772743225"
"25","53","53","53","0.4514645040035248","0.4514645040035248","0.4514645040035248","53","53","53","0.42442142963409424","0.42442142963409424","0.42442142963409424","52","52","52","0.4550175070762634","0.4550175070762634","0.4550175070762634"
"26","55","55","55","0.47741034626960754","0.47741034626960754","0.47741034626960754","55","55","55","0.4116407334804535","0.4116407334804535","0.4116407334804535","54","54","54","0.43691715598106384","0.43691715598106384","0.43691715598106384"
"27","57","57","57","0.4288594126701355","0.4288594126701355","0.4288594126701355","57","57","57","0.4494539201259613","0.4494539201259613","0.4494539201259613","56","56","56","0.4179302155971527","0.4179302155971527","0.4179302155971527"
"28","59","59","59","0.44567230343818665","0.44567230343818665","0.44567230343818665","59","59","59","0.4681629240512848","0.4681629240512848","0.4681629240512848","58","58","58","0.4064107835292816","0.4064107835292816","0.4064107835292816"
"29","62","62","62","0.49411043524742126","0.49411043524742126","0.49411043524742126","62","62","62","0.4729830324649811","0.4729830324649811","0.4729830324649811","61","61","61","0.48159074783325195","0.48159074783325195","0.48159074783325195"
