"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch__MAX"
"20","43","43","43","0.0009523809421807528","0.0009523809421807528","0.0009523809421807528","43","43","43","0.0028042327612638474","0.0028042327612638474","0.0028042327612638474","42","42","42","0.0005555555690079927","0.0005555555690079927","0.0005555555690079927"
"21","45","45","45","0.0005291005363687873","0.0005291005363687873","0.0005291005363687873","45","45","45","0.002222222276031971","0.002222222276031971","0.002222222276031971","44","44","44","0.0010582010727375746","0.0010582010727375746","0.0010582010727375746"
"22","47","47","47","0.0006349206087179482","0.0006349206087179482","0.0006349206087179482","47","47","47","0.001640211557969451","0.001640211557969451","0.001640211557969451","46","46","46","0.0003174603043589741","0.0003174603043589741","0.0003174603043589741"
"23","49","49","49","0.00074074073927477","0.00074074073927477","0.00074074073927477","49","49","49","0.0014285714132711291","0.0014285714132711291","0.0014285714132711291","48","48","48","0.0006349206087179482","0.0006349206087179482","0.0006349206087179482"
"24","51","51","51","0.0005820105434395373","0.0005820105434395373","0.0005820105434395373","51","51","51","0.0013756613479927182","0.0013756613479927182","0.0013756613479927182","50","50","50","0.00026455026818439364","0.00026455026818439364","0.00026455026818439364"
"25","53","53","53","0.0007936508045531809","0.0007936508045531809","0.0007936508045531809","53","53","53","0.0017724867211654782","0.0017724867211654782","0.0017724867211654782","52","52","52","0.0007671957719139755","0.0007671957719139755","0.0007671957719139755"
"26","55","55","55","0.0008730158442631364","0.0008730158442631364","0.0008730158442631364","55","55","55","0.0009788359748199582","0.0009788359748199582","0.0009788359748199582","54","54","54","0.0005291005363687873","0.0005291005363687873","0.0005291005363687873"
"27","57","57","57","0.0008465608116239309","0.0008465608116239309","0.0008465608116239309","57","57","57","0.001931216917000711","0.001931216917000711","0.001931216917000711","56","56","56","0.0009523809421807528","0.0009523809421807528","0.0009523809421807528"
"28","59","59","59","0.00074074073927477","0.00074074073927477","0.00074074073927477","59","59","59","0.0010582010727375746","0.0010582010727375746","0.0010582010727375746","58","58","58","0.0003174603043589741","0.0003174603043589741","0.0003174603043589741"
"29","62","62","62","0.0016931216232478619","0.0016931216232478619","0.0016931216232478619","62","62","62","0.0008465608116239309","0.0008465608116239309","0.0008465608116239309","61","61","61","0.0004497354384511709","0.0004497354384511709","0.0004497354384511709"
"30","64","64","64","0.0011111111380159855","0.0011111111380159855","0.0011111111380159855","64","64","64","0.0008730158442631364","0.0008730158442631364","0.0008730158442631364","63","63","63","0.0005820105434395373","0.0005820105434395373","0.0005820105434395373"
"31","66","66","66","0.0007671957719139755","0.0007671957719139755","0.0007671957719139755","66","66","66","0.00119047611951828","0.00119047611951828","0.00119047611951828","65","65","65","0.0006878306739963591","0.0006878306739963591","0.0006878306739963591"
"32","68","68","68","0.0008994708769023418","0.0008994708769023418","0.0008994708769023418","68","68","68","0.002486772369593382","0.002486772369593382","0.002486772369593382","67","67","67","0.0008465608116239309","0.0008465608116239309","0.0008465608116239309"
"33","70","70","70","0.0010052910074591637","0.0010052910074591637","0.0010052910074591637","70","70","70","0.0010582010727375746","0.0010582010727375746","0.0010582010727375746","69","69","69","0.0007936508045531809","0.0007936508045531809","0.0007936508045531809"
"34","72","72","72","0.0014550264459103346","0.0014550264459103346","0.0014550264459103346","72","72","72","0.00074074073927477","0.00074074073927477","0.00074074073927477","71","71","71","0.0007936508045531809","0.0007936508045531809","0.0007936508045531809"
"35","74","74","74","0.0011375660542398691","0.0011375660542398691","0.0011375660542398691","74","74","74","0.0005820105434395373","0.0005820105434395373","0.0005820105434395373","73","73","73","0.0006878306739963591","0.0006878306739963591","0.0006878306739963591"
"36","76","76","76","0.0019841268658638","0.0019841268658638","0.0019841268658638","76","76","76","0.0011640210868790746","0.0011640210868790746","0.0011640210868790746","75","75","75","0.0010317460400983691","0.0010317460400983691","0.0010317460400983691"
"37","78","78","78","0.0019047618843615055","0.0019047618843615055","0.0019047618843615055","78","78","78","0.0010317460400983691","0.0010317460400983691","0.0010317460400983691","77","77","77","0.0006613756413571537","0.0006613756413571537","0.0006613756413571537"
"38","80","80","80","0.00074074073927477","0.00074074073927477","0.00074074073927477","80","80","80","0.0019841268658638","0.0019841268658638","0.0019841268658638","79","79","79","0.0012169311521574855","0.0012169311521574855","0.0012169311521574855"
